,ArchiveDate,Adult_Child,HospitalName,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
0,29/04/2021,Adult,Bantry General Hospital,622,445,227,344,"1,638"
1,29/04/2021,Adult,Beaumont Hospital,"15,440","4,503","1,499",458,"21,900"
2,29/04/2021,Adult,Cavan General Hospital,"2,822","1,346",959,745,"5,871"
3,29/04/2021,Adult,Connolly Hospital Blanchardstown,"5,071","1,841",928,673,"8,513"
4,29/04/2021,Adult,Coombe Women and Infants University Hospital,"1,368",518,588,379,"2,853"
5,29/04/2021,Adult,Cork University Hospital,"10,454","5,847","4,358","7,830","28,489"
6,29/04/2021,Adult,Cork University Maternity Hospital,"1,502",196,44,5,"1,747"
7,29/04/2021,Adult,Croom Orthopaedic Hospital,"1,509","1,350",811,789,"4,459"
8,29/04/2021,Adult,Ennis Hospital,514,361,301,687,"1,863"
9,29/04/2021,Adult,Galway University Hospitals,"16,339","10,062","7,663","16,934","50,997"
10,29/04/2021,Adult,Letterkenny University Hospital,"5,949","3,177","3,151","5,641","17,917"
11,29/04/2021,Adult,Louth County Hospital,"1,572",689,348,116,"2,725"
12,29/04/2021,Adult,Mallow General Hospital,"1,211",652,355,347,"2,565"
13,29/04/2021,Adult,Mater Misericordiae University Hospital,"19,904","7,513","5,714","12,268","45,398"
14,29/04/2021,Adult,Mayo University Hospital,"3,707","2,566","1,674","4,186","12,133"
15,29/04/2021,Adult,Mercy University Hospital,"2,208","1,052","1,050","2,185","6,494"
16,29/04/2021,Adult,Midland Regional Hospital Mullingar,"3,537","2,201","1,714","1,042","8,494"
17,29/04/2021,Adult,Midland Regional Hospital Portlaoise,"2,273","1,396","1,219","1,619","6,506"
18,29/04/2021,Adult,Midland Regional Hospital Tullamore,"4,784","3,309","2,431","6,132","16,656"
19,29/04/2021,Adult,Naas General Hospital,"3,930","2,097","1,843","2,737","10,607"
20,29/04/2021,Adult,National Orthopaedic Hospital Cappagh,"1,591",425,215,65,"2,296"
21,29/04/2021,Adult,Nenagh Hospital,420,394,286,133,"1,233"
22,29/04/2021,Adult,Our Lady of Lourdes Hospital Drogheda,"5,521","2,849","1,483","1,624","11,476"
23,29/04/2021,Adult,Our Lady's Hospital Navan,"2,546","1,436","1,387","2,053","7,422"
24,29/04/2021,Adult,Portiuncula University Hospital,"1,741",815,611,700,"3,866"
25,29/04/2021,Adult,Roscommon University Hospital,"2,356","1,122",921,"1,926","6,325"
26,29/04/2021,Adult,Rotunda Hospital,"2,283",963,45,2,"3,293"
27,29/04/2021,Adult,Royal Victoria Eye and Ear Hospital,"3,392","2,054","1,992","7,003","14,441"
28,29/04/2021,Adult,Sligo University Hospital,"6,059","3,723","2,893","4,683","17,357"
29,29/04/2021,Adult,South Infirmary Victoria University Hospital,"7,136","3,337","2,547","7,324","20,344"
30,29/04/2021,Adult,South Tipperary General Hospital,"1,954",852,421,546,"3,772"
31,29/04/2021,Adult,St. Columcille's Hospital,"1,610","1,063",788,"1,498","4,959"
32,29/04/2021,Adult,St. James's Hospital,"12,104","4,786","3,657","5,718","26,266"
33,29/04/2021,Adult,St. John's Hospital Limerick,667,334,167,432,"1,599"
34,29/04/2021,Adult,St. Luke's General Hospital Kilkenny,"2,148",421,170,212,"2,950"
35,29/04/2021,Adult,St. Michael's Hospital,"2,093",489,392,378,"3,352"
36,29/04/2021,Adult,St. Vincent's University Hospital,"11,719","4,716","3,969","6,209","26,612"
37,29/04/2021,Adult,Tallaght University Hospital,"10,890","6,718","5,043","12,343","34,993"
38,29/04/2021,Adult,University Hospital Kerry,"3,847","2,481","1,628","2,891","10,846"
39,29/04/2021,Adult,University Hospital Limerick,"10,976","7,006","5,600","17,454","41,035"
40,29/04/2021,Adult,University Hospital Waterford,"11,577","7,584","6,740","16,547","42,448"
41,29/04/2021,Adult,Wexford General Hospital,"2,277",842,227,6,"3,351"
42,29/04/2021,Child,Beaumont Hospital,64,15,5,0,85
43,29/04/2021,Child,Cavan General Hospital,321,61,74,46,502
44,29/04/2021,Child,Children's Health Ireland,"14,920","7,076","6,003","14,443","42,442"
45,29/04/2021,Child,Cork University Hospital,"2,192",961,779,947,"4,879"
46,29/04/2021,Child,Cork University Maternity Hospital,36,2,2,0,40
47,29/04/2021,Child,Croom Orthopaedic Hospital,120,87,50,10,267
48,29/04/2021,Child,Ennis Hospital,12,9,5,7,34
49,29/04/2021,Child,Galway University Hospitals,"1,989",920,783,"1,217","4,909"
50,29/04/2021,Child,Letterkenny University Hospital,748,276,308,883,"2,215"
51,29/04/2021,Child,Mallow General Hospital,54,31,50,46,180
52,29/04/2021,Child,Mayo University Hospital,509,146,151,701,"1,507"
53,29/04/2021,Child,Mercy University Hospital,283,122,96,115,615
54,29/04/2021,Child,Midland Regional Hospital Mullingar,532,193,156,158,"1,039"
55,29/04/2021,Child,Midland Regional Hospital Portlaoise,360,210,164,48,783
56,29/04/2021,Child,Midland Regional Hospital Tullamore,520,361,508,"1,409","2,797"
57,29/04/2021,Child,Naas General Hospital,11,2,0,0,13
58,29/04/2021,Child,National Orthopaedic Hospital Cappagh,185,32,33,7,257
59,29/04/2021,Child,Nenagh Hospital,12,5,4,4,25
60,29/04/2021,Child,Our Lady of Lourdes Hospital Drogheda,"1,338",656,346,276,"2,615"
61,29/04/2021,Child,Our Lady's Hospital Navan,18,17,9,0,43
62,29/04/2021,Child,Portiuncula University Hospital,345,85,36,60,526
63,29/04/2021,Child,Rotunda Hospital,21,10,0,0,31
64,29/04/2021,Child,Royal Victoria Eye and Ear Hospital,208,96,132,471,907
65,29/04/2021,Child,Sligo University Hospital,778,444,396,443,"2,061"
66,29/04/2021,Child,Small Volume Hospitals,2,0,0,0,2
67,29/04/2021,Child,South Infirmary Victoria University Hospital,"1,021",399,153,402,"1,975"
68,29/04/2021,Child,South Tipperary General Hospital,255,83,2,0,340
69,29/04/2021,Child,St. John's Hospital Limerick,5,2,2,0,9
70,29/04/2021,Child,St. Luke's General Hospital Kilkenny,258,7,2,0,267
71,29/04/2021,Child,Tallaght University Hospital,39,4,9,4,55
72,29/04/2021,Child,University Hospital Kerry,390,197,174,350,"1,111"
73,29/04/2021,Child,University Hospital Limerick,"1,266",702,754,"1,984","4,706"
74,29/04/2021,Child,University Hospital Waterford,"1,095",554,691,"2,290","4,631"
75,29/04/2021,Child,Wexford General Hospital,357,24,0,0,380
76,13/05/2021,Adult,Bantry General Hospital,591,459,207,370,"1,627"
77,13/05/2021,Adult,Beaumont Hospital,"15,573","4,613","1,369",477,"22,031"
78,13/05/2021,Adult,Cavan General Hospital,"2,888","1,429",889,704,"5,909"
79,13/05/2021,Adult,Connolly Hospital Blanchardstown,"5,164","1,897",829,685,"8,574"
80,13/05/2021,Adult,Coombe Women and Infants University Hospital,"1,398",544,557,362,"2,861"
81,13/05/2021,Adult,Cork University Hospital,"10,281","6,050","4,071","8,068","28,470"
82,13/05/2021,Adult,Cork University Maternity Hospital,"1,493",193,30,2,"1,718"
83,13/05/2021,Adult,Croom Orthopaedic Hospital,"1,521","1,383",741,667,"4,312"
84,13/05/2021,Adult,Ennis Hospital,526,379,287,699,"1,891"
85,13/05/2021,Adult,Galway University Hospitals,"16,421","10,447","7,118","16,984","50,969"
86,13/05/2021,Adult,Letterkenny University Hospital,"6,014","3,338","2,924","5,820","18,096"
87,13/05/2021,Adult,Louth County Hospital,"1,598",689,321,130,"2,738"
88,13/05/2021,Adult,Mallow General Hospital,"1,232",696,379,353,"2,660"
89,13/05/2021,Adult,Mater Misericordiae University Hospital,"19,609","7,683","5,267","12,121","44,679"
